id,slope,elevation,rain_mean_year,soil_type,dist_river,rain_forecast_24h,label
328,19,159,2597,Type 1,7533,18,0
329,13,1431,1995,Type 1,1696,11,0
330,19,200,2177,Type 1,3024,14,0
331,27,197,2038,Type 1,2788,17,0
332,4,1445,2039,Type 1,5899,12,0
333,63,2205,2014,Type 1,3529,12,0
334,19,655,1970,Type 1,4263,12,0
335,18,1074,2251,Type 1,3151,13,0
336,26,1305,2052,Type 2,1868,13,0
337,20,1676,1816,Type 1,3473,12,0
338,17,270,1763,Type 1,1898,12,0
339,25,949,1970,Type 1,4579,12,0
340,0,123,0,,2376,0,0
341,62,771,2014,Type 1,1530,11,0
342,23,595,2017,Type 1,5816,13,0
343,28,771,2041,Type 1,2428,13,0
344,36,2124,0,Type 1,15776,0,0
345,20,997,1991,Type 1,1838,10,0
346,20,190,2597,Type 1,7474,18,0
347,32,349,2653,Type 1,12082,18,0
348,14,977,2006,Type 1,16484,15,0
349,24,381,2064,Type 1,10498,15,0
350,41,1738,1813,Type 1,3100,11,0
351,30,268,2249,Type 1,4344,15,0
352,20,644,2078,Type 1,1220,12,0
353,23,2041,0,Type 1,3406,0,0
354,11,148,2581,Type 1,9848,18,0
355,36,1400,1973,Type 1,4701,11,0
356,34,314,2047,Type 1,6545,17,0
357,19,183,2280,Type 1,16049,17,0
358,23,1264,2041,Type 1,4495,13,0
359,29,961,2251,Type 1,701,13,0
360,15,1037,1840,Type 1,10643,11,0
361,3,357,1935,Type 1,7926,15,0
362,18,215,2127,Type 1,23185,19,0
363,26,513,2463,Type 1,9678,19,0
364,31,587,2140,Type 1,5892,13,0
365,22,1981,2648,Type 2,5193,15,0
366,22,1595,2482,Type 1,2645,13,0
367,18,195,2132,Type 1,11415,17,0
368,18,513,2568,Type 1,9595,19,0
369,41,1369,2491,Type 1,1522,13,0
370,15,853,2430,Type 1,4352,15,0
371,18,1220,0,Type 1,34004,0,0
372,29,2055,2381,Type 1,1422,13,0
373,23,589,0,Type 1,3191,0,0
374,52,1273,2110,Type 1,5044,12,0
375,20,185,1702,Type 1,2571,11,0
376,27,1437,1970,Type 1,10036,12,0
377,16,406,2044,Type 1,13676,19,0
378,38,1840,2324,Type 1,2229,13,0
379,26,579,2364,Type 1,2285,16,0
380,15,94,0,Type 1,971,0,0
381,30,1365,2267,Type 1,7545,14,0
382,9,305,2329,Type 1,8311,18,0
383,33,1514,2251,Type 1,4016,13,0
384,2,104,2170,Type 1,11024,17,0
385,12,1040,0,Type 1,3804,0,0
386,21,811,1692,Type 1,8967,10,0
387,26,676,2315,Type 1,2767,14,0
388,30,539,2444,Type 1,6146,16,0
389,26,948,2091,Type 1,13430,16,0
390,12,1133,2310,Type 1,3623,15,0
391,11,376,2214,Type 1,8963,16,0
392,57,1455,2240,Type 1,2393,12,0
393,15,520,1702,Type 1,3772,11,0
394,34,1183,2255,Type 1,2408,14,0
395,36,1369,2014,Type 1,2768,12,0
396,30,350,2296,Type 1,31312,16,0
397,11,1031,2444,Type 1,13565,16,0
398,20,1673,1995,Type 2,4369,11,0
399,24,201,2572,Type 1,9793,19,0
400,32,1818,2229,Type 1,6950,14,0
401,5,317,2055,Type 1,4236,17,0
402,36,2322,2265,Type 1,4437,13,0
403,25,209,2132,Type 1,11015,17,0
404,30,1594,2362,Type 1,3284,13,0
405,10,139,2256,Type 1,17259,21,0
406,13,682,2444,Type 1,14590,16,0
407,17,212,2132,Type 1,9043,17,0
408,4,124,2140,Type 1,3846,16,0
409,21,220,2038,Type 1,3452,17,0
410,4,443,2174,Type 1,4345,13,0
411,20,752,1945,Type 1,3633,10,0
412,13,1337,2516,Type 1,668,13,0
413,16,757,1843,Type 1,5405,11,0
414,18,605,1871,Type 1,3977,13,0
415,22,938,2015,Type 1,3122,14,0
416,36,1075,2174,Type 1,1434,13,0
417,30,1853,3079,Type 2,2865,18,0
418,15,1139,2140,Type 1,7321,13,0
419,5,417,1965,Type 1,2808,10,0
420,39,504,2581,Type 1,10850,18,0
421,1,73,2214,Type 1,415,16,0
422,11,321,0,Type 1,928,0,0
423,7,68,2152,Type 1,18215,20,0
424,32,725,2491,Type 1,2039,13,0
425,23,1058,2198,Type 1,2251,15,0
426,35,890,2078,Type 1,2735,12,0
427,33,794,2048,Type 1,19557,16,0
428,33,914,2059,Type 1,9182,15,0
429,6,1931,2113,Type 1,4248,13,0
430,15,774,2430,Type 1,7208,14,0
431,28,1717,2545,Type 2,2473,17,0
432,7,63,2319,Type 1,15865,19,0
433,30,2208,2376,Type 1,4645,12,0
434,22,984,1786,Type 1,3061,11,0
435,14,2000,2545,Type 2,2981,17,0
436,10,139,2038,Type 1,2115,17,0
437,14,993,2430,Type 1,9518,14,0
438,27,278,2073,Type 1,806,12,0
439,41,1389,2362,Type 1,2241,13,0
440,21,247,2055,Type 1,5327,17,0
441,29,1310,2140,Type 1,4945,13,0
442,18,254,1972,Type 1,1467,13,0
443,1,550,2004,Type 1,1338,15,0
444,1,80,2572,Type 1,8319,19,0
445,22,507,2581,Type 1,10641,18,0
446,35,1214,2596,Type 1,385,14,0
447,26,199,2305,Type 1,667,18,0
448,17,797,2491,Type 1,448,13,0
449,40,2329,2199,Type 1,10719,15,0
450,35,563,0,Type 1,3883,0,0
451,41,416,1979,Type 1,7765,11,0
452,38,508,2579,Type 1,10889,16,0
453,2,372,2055,Type 1,4857,17,0
454,0,213,1851,Type 1,9829,11,0
455,16,1519,2136,Type 1,4877,14,0
456,25,1000,2199,Type 1,3363,15,0
457,8,1761,2216,Type 1,30564,14,0
458,27,1853,2267,Type 1,7315,14,0
459,46,1600,2381,Type 1,1161,13,0
460,30,1172,2351,Type 1,1233,16,0
461,5,94,1940,Type 1,3502,17,0
462,10,287,2305,Type 1,4675,18,0
463,17,380,2183,Type 1,8135,17,0
464,28,323,2271,Type 1,6043,16,0
465,37,853,1892,Type 1,10020,11,0
466,25,235,2364,Type 1,3571,16,0
467,6,1401,2199,Type 1,1928,13,0
468,47,1203,2201,Type 2,7721,15,0
469,21,302,2477,Type 1,4948,17,0
470,27,348,2170,Type 1,5887,18,0
